Year,J,F,M,A,M,J,J,A,S,O,N,D
1784,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137
1785,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017,1.0017
1786,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841
1787,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678,3.2678
1788,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487,1.4487
1789,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882,-0.0882
1790,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567,-0.8567
1791,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843,0.0843
1792,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346,-2.9346
1793,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215
1794,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372
1795,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979
1796,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406,2.2406
1797,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979,-0.5979
1798,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351,-0.9351
1799,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038,-0.5038
1800,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409,1.0409
1801,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274,-0.1274
1802,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289,2.0289
1803,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076,-1.1076
1804,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902,-0.1902
1805,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214,0.8214
1806,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444,-3.0444
1807,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896,-2.5896
1808,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135
1809,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248,3.0248
1810,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
1811,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743
1812,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055,-1.8055
1813,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156,-0.3156
1814,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623,1.7623
1815,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877,-2.0877
1816,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114,-1.7114
1817,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465,2.5465
1818,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255
1819,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761,-1.4761
1820,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603,2.0603
1821,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744,-0.5744
1822,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391
1823,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998,-0.6998
1824,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658,3.5658
1825,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723,1.0723
1826,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485,-2.0485
1827,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548
1828,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685,-0.6685
1829,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465,-2.3465
1830,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174,1.0174
1831,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956
1832,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466
1833,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917,-1.8917
1834,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057
1835,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996
1836,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527,-1.0527
1837,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155
1838,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782
1839,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999,-0.2999
1840,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1841,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221,-2.221
1842,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684,0.8684
1843,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606,-0.6606
1844,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412,-0.0412
1845,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014,-2.4014
1846,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175
1847,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094,1.8094
1848,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154,-1.1154
1849,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841,-1.0841
1850,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761,1.6761
1851,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782,-0.7782
1852,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862,-0.3862
1853,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683,1.2683
1854,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504,-2.5504
1855,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292,0.8292
1856,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323,-2.323
1857,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548
1858,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174,-2.174
1859,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528,-0.6528
1860,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171,-2.4171
1861,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056,-1.0056
1862,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918
1863,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644,-1.2644
1864,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603,-1.8603
1865,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607,0.4607
1866,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507
1867,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879,1.4879
1868,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743,0.7743
1869,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348,1.9348
1870,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841,0.8841
1871,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075,1.3075
1872,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608,0.0608
1873,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548,-0.3548
1874,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446,-2.2446
1875,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547,-0.7547
1876,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841,-0.841
1877,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508,-0.5508
1878,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996,1.6996
1879,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097
1880,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327,-2.8327
1881,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332,-0.4332
1882,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058,-0.2058
1883,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888,-0.888
1884,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701,2.1701
1885,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799,-2.0799
1886,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722,1.4722
1887,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997,-1.0997
1888,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
1889,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932,3.7932
1890,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961
1891,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466,1.7466
1892,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645,1.0645
1893,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391
1894,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053,-2.6053
1895,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037,1.1037
1896,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99
1897,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196,-0.1196
1898,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899,-1.3899
1899,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921,-0.2921
1900,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819,-1.7819
1901,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528,0.4528
1902,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527,0.8527
1903,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647,-0.0647
1904,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1905,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607,-0.2607
1906,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212,-1.4212
1907,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078,0.1078
1908,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604,1.6604
1909,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588,-0.1588
1910,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093,2.2093
1911,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638,-3.6638
1912,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313,0.1313
1913,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088,1.088
1914,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116,-0.5116
1915,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307,2.9307
1916,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135,0.8135
1917,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702,1.7702
1918,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502,-3.3502
1919,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078,-0.3078
1920,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057,0.8057
1921,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918
1922,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408,-1.6408
1923,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821,-0.9821
1924,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237
1925,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662,-2.1662
1926,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704,0.9704
1927,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372,0.4372
1928,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312,0.9312
1929,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465,2.1465
1930,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235,0.1235
1931,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821,1.1821
1932,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368,-1.8368
1933,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918,-1.4918
1934,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646,-0.4646
1935,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899,1.1899
1936,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759,-2.2759
1937,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169,3.0169
1938,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132,2.0132
1939,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097
1940,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781,-1.5781
1941,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895,2.7895
1942,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431,-0.1431
1943,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186,-1.186
1944,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738,-2.9738
1945,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
1946,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056,1.2056
1947,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546,-1.1546
1948,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879,-1.2879
1949,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097,-0.4097
1950,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095,-1.2095
1951,3.903,3.903,3.903,3.903,3.903,3.903,3.903,3.903,3.903,3.903,3.903,3.903
1952,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918,1.2918
1953,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627,0.1627
1954,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472,-2.472
1955,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234,0.5234
1956,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391,-0.3391
1957,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686,0.0686
1958,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582,2.7582
1959,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025,-2.025
1960,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049,-0.049
1961,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488,1.0488
1962,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722,-1.2722
1963,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978
1964,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956,-2.0956
1965,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331,1.0331
1966,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602,-2.2602
